fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006578947368421052,0.9954269602037639
0.0,0.02631578947368421,0.9136548648661719
0.0009107468123861566,0.02631578947368421,0.8944376067957327
0.0009107468123861566,0.046052631578947366,0.8726795261421818
0.0018214936247723133,0.046052631578947366,0.8710524868194355
0.0018214936247723133,0.09868421052631579,0.807611836718112
0.00273224043715847,0.09868421052631579,0.8016699998374778
0.00273224043715847,0.13815789473684212,0.7540653808873863
0.0036429872495446266,0.13815789473684212,0.7462917592984002
0.0036429872495446266,0.1513157894736842,0.7355904883737626
0.004553734061930784,0.1513157894736842,0.725843526811955
0.004553734061930784,0.15789473684210525,0.7161810203863468
0.006375227686703097,0.15789473684210525,0.6985582535399569
0.006375227686703097,0.16447368421052633,0.697171950786316
0.007285974499089253,0.16447368421052633,0.6962702285100671
0.007285974499089253,0.17105263157894737,0.6871991406749123
0.00819672131147541,0.17105263157894737,0.6718297213514244
0.00819672131147541,0.18421052631578946,0.6652012002308944
0.010018214936247723,0.18421052631578946,0.6495386870247988
0.010018214936247723,0.20394736842105263,0.6446125272811694
0.012750455373406194,0.20394736842105263,0.61269464385202
0.012750455373406194,0.2236842105263158,0.6068178911071307
0.014571948998178506,0.2236842105263158,0.5973593017885775
0.014571948998178506,0.23026315789473684,0.580819895167272
0.020036429872495445,0.23026315789473684,0.5354450439632125
0.020036429872495445,0.23684210526315788,0.5288606713464643
0.022768670309653915,0.23684210526315788,0.5201524790272767
0.022768670309653915,0.2565789473684211,0.49237127114029156
0.029143897996357013,0.2565789473684211,0.47055029907364476
0.029143897996357013,0.2631578947368421,0.47047709531172666
0.03460837887067395,0.2631578947368421,0.4498771410620126
0.03460837887067395,0.26973684210526316,0.4378815254704331
0.037340619307832425,0.26973684210526316,0.4237423183872561
0.037340619307832425,0.28289473684210525,0.41989769046154796
0.03825136612021858,0.28289473684210525,0.4151412269854717
0.03825136612021858,0.2894736842105263,0.41042303932805335
0.039162112932604735,0.2894736842105263,0.40436380077646067
0.039162112932604735,0.3157894736842105,0.39198527780954184
0.04371584699453552,0.3157894736842105,0.3708061809619226
0.04371584699453552,0.3223684210526316,0.37045441248073563
0.04553734061930783,0.3223684210526316,0.3604065782457089
0.04553734061930783,0.32894736842105265,0.35674901178252094
0.04735883424408015,0.32894736842105265,0.35524678347511446
0.04735883424408015,0.34210526315789475,0.3510213168864426
0.0482695810564663,0.34210526315789475,0.3506461079901372
0.0482695810564663,0.34868421052631576,0.34964514088577586
0.052823315118397086,0.34868421052631576,0.3345936811902171
0.052823315118397086,0.35526315789473684,0.33326382966540447
0.05555555555555555,0.35526315789473684,0.3236932308155737
0.05555555555555555,0.3618421052631579,0.32119987545893663
0.05737704918032787,0.3618421052631579,0.320828529389989
0.05737704918032787,0.3684210526315789,0.31918180544155095
0.058287795992714025,0.3684210526315789,0.3182968003821932
0.058287795992714025,0.3881578947368421,0.3111496369308522
